altitude[km]	temperature[k]	pressure[hPa]	depth[mg/cm2]	density[mg/cm3]	ndensity[#/cm3]	Hydrogen[%mass]	Helium[%mass]	Oxygen[%mass]	Nitrogen[%mass]	Argon[%mass]
485.8	1289.35	6.98475e-09	1.44075e-06	1.12142e-12	3.92272e+07		0.00444657	0.216168	78.723	21.0539	0.00247631
485.7	1289.35	6.99428e-09	1.45197e-06	1.12304e-12	3.92807e+07		0.00444051	0.215925	78.7096	21.0675	0.00248059
485.6	1289.34	7.00382e-09	1.46321e-06	1.12466e-12	3.93344e+07		0.00443446	0.215683	78.6963	21.0811	0.00248487
485.5	1289.34	7.01337e-09	1.47447e-06	1.12628e-12	3.93881e+07		0.00442842	0.21544	78.6829	21.0947	0.00248917
485.4	1289.34	7.02294e-09	1.48574e-06	1.12791e-12	3.94419e+07		0.00442239	0.215197	78.6695	21.1084	0.00249346
485.3	1289.34	7.03252e-09	1.49703e-06	1.12954e-12	3.94958e+07		0.00441636	0.214955	78.6561	21.122	0.00249777
485.2	1289.34	7.04212e-09	1.50833e-06	1.13117e-12	3.95497e+07		0.00441035	0.214713	78.6427	21.1356	0.00250208
485.1	1289.33	7.05173e-09	1.51965e-06	1.1328e-12	3.96037e+07		0.00440434	0.214472	78.6293	21.1493	0.0025064
485	1289.33	7.06135e-09	1.53099e-06	1.13444e-12	3.96579e+07		0.00439833	0.21423	78.6159	21.1629	0.00251073
484.9	1289.33	7.07099e-09	1.54234e-06	1.13608e-12	3.97121e+07		0.00439233	0.213989	78.6025	21.1766	0.00251507
484.8	1289.33	7.08065e-09	1.55371e-06	1.13772e-12	3.97663e+07		0.00438635	0.213748	78.5891	21.1903	0.00251941
484.7	1289.33	7.09031e-09	1.56509e-06	1.13937e-12	3.98207e+07		0.00438037	0.213507	78.5756	21.2039	0.00252376
484.6	1289.33	7.09999e-09	1.57649e-06	1.14102e-12	3.98751e+07		0.00437439	0.213267	78.5622	21.2176	0.00252811
484.5	1289.32	7.10969e-09	1.58791e-06	1.14267e-12	3.99296e+07		0.00436842	0.213026	78.5487	21.2313	0.00253248
484.4	1289.32	7.1194e-09	1.59935e-06	1.14432e-12	3.99842e+07		0.00436246	0.212786	78.5353	21.245	0.00253685
484.3	1289.32	7.12913e-09	1.6108e-06	1.14597e-12	4.00389e+07		0.00435651	0.212546	78.5218	21.2588	0.00254123
484.2	1289.32	7.13886e-09	1.62227e-06	1.14763e-12	4.00936e+07		0.00435057	0.212307	78.5083	21.2725	0.00254561
484.1	1289.32	7.14862e-09	1.63375e-06	1.14929e-12	4.01485e+07		0.00434463	0.212068	78.4948	21.2862	0.00255001
484	1289.31	7.15839e-09	1.64525e-06	1.15095e-12	4.02034e+07		0.0043387	0.211828	78.4813	21.3	0.00255441
483.9	1289.31	7.16817e-09	1.65677e-06	1.15262e-12	4.02584e+07		0.00433277	0.211589	78.4678	21.3137	0.00255882
483.8	1289.31	7.17797e-09	1.66831e-06	1.15429e-12	4.03135e+07		0.00432686	0.211351	78.4543	21.3275	0.00256323
483.7	1289.31	7.18777e-09	1.67986e-06	1.15596e-12	4.03686e+07		0.00432095	0.211112	78.4408	21.3412	0.00256765
483.6	1289.31	7.1976e-09	1.69142e-06	1.15763e-12	4.04239e+07		0.00431505	0.210874	78.4272	21.355	0.00257208
483.5	1289.3	7.20744e-09	1.70301e-06	1.15931e-12	4.04792e+07		0.00430916	0.210636	78.4137	21.3688	0.00257652
483.4	1289.3	7.2173e-09	1.71461e-06	1.16099e-12	4.05346e+07		0.00430327	0.210398	78.4001	21.3826	0.00258097
483.3	1289.3	7.22717e-09	1.72623e-06	1.16267e-12	4.05901e+07		0.00429739	0.210161	78.3866	21.3964	0.00258542
483.2	1289.3	7.23705e-09	1.73786e-06	1.16435e-12	4.06457e+07		0.00429152	0.209924	78.373	21.4102	0.00258988
483.1	1289.3	7.24695e-09	1.74952e-06	1.16604e-12	4.07013e+07		0.00428565	0.209687	78.3594	21.424	0.00259435
483	1289.29	7.25686e-09	1.76119e-06	1.16773e-12	4.07571e+07		0.00427979	0.20945	78.3458	21.4379	0.00259882
482.9	1289.29	7.26679e-09	1.77287e-06	1.16942e-12	4.08129e+07		0.00427394	0.209213	78.3322	21.4517	0.0026033
