\comments
	 Dayly averaged Mars atmospheric profiles computed with MarsGram2001 
	date :	2000/1/1 12:0:0
	ground altitude :	1.701 km
	latitude :	-45
	longitude :	180
\definition
	 \type_of_composition{mass_composition}
	 \mass_density_unit{kg/m3}
	 \pressure_unit{Pa}
	 \altitude_unit{km}
	 \ground_altitude{1.701}
	 \top_altitude{90}
\data
	altitude	temperature	pressure	density	CO2	N2	Ar
	65.900	141.9	0.4166	0.1555E-04	0.957	0.027	0.016
	65.800	141.9	0.4225	0.1577E-04	0.957	0.027	0.016
	65.700	141.9	0.4284	0.1599E-04	0.957	0.027	0.016
	65.600	141.9	0.4344	0.1621E-04	0.957	0.027	0.016
	65.500	141.9	0.4405	0.1644E-04	0.957	0.027	0.016
	65.400	141.9	0.4466	0.1667E-04	0.957	0.027	0.016
	65.300	141.9	0.4529	0.1690E-04	0.957	0.027	0.016
	65.200	141.9	0.4592	0.1714E-04	0.957	0.027	0.016
	65.100	141.9	0.4657	0.1738E-04	0.957	0.027	0.016
	65.000	141.9	0.4722	0.1762E-04	0.957	0.027	0.016
	64.900	142.0	0.4788	0.1786E-04	0.957	0.027	0.016
	64.800	142.0	0.4854	0.1811E-04	0.957	0.027	0.016
	64.700	142.0	0.4922	0.1836E-04	0.957	0.027	0.016
	64.600	142.0	0.4991	0.1861E-04	0.957	0.027	0.016
	64.500	142.1	0.5060	0.1886E-04	0.957	0.027	0.016
	64.400	142.1	0.5130	0.1912E-04	0.957	0.027	0.016
	64.300	142.1	0.5202	0.1938E-04	0.957	0.027	0.016
	64.200	142.2	0.5274	0.1965E-04	0.957	0.027	0.016
	64.100	142.2	0.5348	0.1992E-04	0.957	0.027	0.016
	64.000	142.2	0.5422	0.2019E-04	0.957	0.027	0.016
	63.900	142.2	0.5498	0.2047E-04	0.957	0.027	0.016
	63.800	142.3	0.5574	0.2075E-04	0.957	0.027	0.016
	63.700	142.3	0.5652	0.2103E-04	0.957	0.027	0.016
	63.600	142.3	0.5730	0.2132E-04	0.957	0.027	0.016
	63.500	142.4	0.5810	0.2161E-04	0.957	0.027	0.016
	63.400	142.4	0.5891	0.2191E-04	0.957	0.027	0.016
	63.300	142.4	0.5973	0.2221E-04	0.957	0.027	0.016
	63.200	142.5	0.6056	0.2251E-04	0.957	0.027	0.016
	63.100	142.5	0.6141	0.2282E-04	0.957	0.027	0.016
	63.000	142.5	0.6226	0.2313E-04	0.957	0.027	0.016
	62.900	142.5	0.6313	0.2345E-04	0.957	0.027	0.016
	62.800	142.6	0.6401	0.2377E-04	0.957	0.027	0.016
	62.700	142.6	0.6490	0.2409E-04	0.957	0.027	0.016
	62.600	142.6	0.6580	0.2442E-04	0.957	0.027	0.016
	62.500	142.7	0.6672	0.2476E-04	0.957	0.027	0.016
	62.400	142.7	0.6765	0.2510E-04	0.957	0.027	0.016
	62.300	142.7	0.6859	0.2544E-04	0.957	0.027	0.016
	62.200	142.8	0.6954	0.2579E-04	0.957	0.027	0.016
	62.100	142.8	0.7051	0.2614E-04	0.957	0.027	0.016
	62.000	142.8	0.7149	0.2650E-04	0.957	0.027	0.016
	61.900	142.8	0.7249	0.2686E-04	0.957	0.027	0.016
	61.800	142.9	0.7350	0.2723E-04	0.957	0.027	0.016
	61.700	142.9	0.7452	0.2760E-04	0.957	0.027	0.016
	61.600	142.9	0.7556	0.2798E-04	0.957	0.027	0.016
	61.500	143.0	0.7661	0.2837E-04	0.957	0.027	0.016
	61.400	143.0	0.7768	0.2875E-04	0.957	0.027	0.016
	61.300	143.0	0.7876	0.2915E-04	0.957	0.027	0.016
	61.200	143.1	0.7985	0.2955E-04	0.957	0.027	0.016
	61.100	143.1	0.8096	0.2995E-04	0.957	0.027	0.016
	61.000	143.1	0.8209	0.3036E-04	0.957	0.027	0.016
	60.900	143.1	0.8323	0.3078E-04	0.957	0.027	0.016
	60.800	143.2	0.8439	0.3120E-04	0.957	0.027	0.016
	60.700	143.2	0.8557	0.3163E-04	0.957	0.027	0.016
	60.600	143.2	0.8676	0.3206E-04	0.957	0.027	0.016
	60.500	143.3	0.8797	0.3250E-04	0.957	0.027	0.016
	60.400	143.3	0.8919	0.3294E-04	0.957	0.027	0.016
	60.300	143.3	0.9043	0.3339E-04	0.957	0.027	0.016
	60.200	143.3	0.9169	0.3385E-04	0.957	0.027	0.016
	60.100	143.4	0.9297	0.3432E-04	0.957	0.027	0.016
	60.000	143.4	0.9426	0.3479E-04	0.957	0.027	0.016
	59.900	143.5	0.9555	0.3524E-04	0.957	0.027	0.016
	59.800	143.6	0.9686	0.3570E-04	0.957	0.027	0.016
	59.700	143.6	0.9818	0.3617E-04	0.957	0.027	0.016
	59.600	143.7	0.9952	0.3665E-04	0.957	0.027	0.016
	59.500	143.8	1.009	0.3713E-04	0.957	0.027	0.016
	59.400	143.9	1.023	0.3762E-04	0.957	0.027	0.016
	59.300	143.9	1.037	0.3811E-04	0.957	0.027	0.016
	59.200	144.0	1.051	0.3861E-04	0.957	0.027	0.016
	59.100	144.1	1.065	0.3912E-04	0.957	0.027	0.016
	59.000	144.2	1.080	0.3963E-04	0.957	0.027	0.016
	58.900	144.2	1.094	0.4015E-04	0.957	0.027	0.016
	58.800	144.3	1.109	0.4068E-04	0.957	0.027	0.016
	58.700	144.4	1.124	0.4121E-04	0.957	0.027	0.016
	58.600	144.5	1.140	0.4175E-04	0.957	0.027	0.016
	58.500	144.5	1.155	0.4230E-04	0.957	0.027	0.016
	58.400	144.6	1.171	0.4286E-04	0.957	0.027	0.016
	58.300	144.7	1.187	0.4342E-04	0.957	0.027	0.016
	58.200	144.8	1.203	0.4399E-04	0.957	0.027	0.016
	58.100	144.8	1.220	0.4457E-04	0.957	0.027	0.016
	58.000	144.9	1.236	0.4515E-04	0.957	0.027	0.016
	57.900	145.0	1.253	0.4574E-04	0.957	0.027	0.016
	57.800	145.0	1.270	0.4635E-04	0.957	0.027	0.016
	57.700	145.1	1.288	0.4695E-04	0.957	0.027	0.016
	57.600	145.2	1.305	0.4757E-04	0.957	0.027	0.016
	57.500	145.3	1.323	0.4819E-04	0.957	0.027	0.016
	57.400	145.3	1.341	0.4883E-04	0.957	0.027	0.016
	57.300	145.4	1.360	0.4947E-04	0.957	0.027	0.016
	57.200	145.5	1.378	0.5012E-04	0.957	0.027	0.016
	57.100	145.6	1.397	0.5078E-04	0.957	0.027	0.016
	57.000	145.6	1.416	0.5144E-04	0.957	0.027	0.016
	56.900	145.7	1.435	0.5212E-04	0.957	0.027	0.016
	56.800	145.8	1.455	0.5280E-04	0.957	0.027	0.016
	56.700	145.9	1.475	0.5350E-04	0.957	0.027	0.016
	56.600	145.9	1.495	0.5420E-04	0.957	0.027	0.016
	56.500	146.0	1.516	0.5491E-04	0.957	0.027	0.016
	56.400	146.1	1.536	0.5563E-04	0.957	0.027	0.016
	56.300	146.2	1.557	0.5636E-04	0.957	0.027	0.016
	56.200	146.2	1.578	0.5710E-04	0.957	0.027	0.016
	56.100	146.3	1.600	0.5785E-04	0.957	0.027	0.016
	56.000	146.4	1.622	0.5861E-04	0.957	0.027	0.016
	55.900	146.5	1.644	0.5938E-04	0.957	0.027	0.016
	55.800	146.5	1.666	0.6016E-04	0.957	0.027	0.016
	55.700	146.6	1.689	0.6095E-04	0.957	0.027	0.016
	55.600	146.7	1.712	0.6175E-04	0.957	0.027	0.016
	55.500	146.8	1.736	0.6257E-04	0.957	0.027	0.016
	55.400	146.8	1.759	0.6339E-04	0.957	0.027	0.016
	55.300	146.9	1.783	0.6422E-04	0.957	0.027	0.016
	55.200	147.0	1.808	0.6506E-04	0.957	0.027	0.016
	55.100	147.1	1.833	0.6592E-04	0.957	0.027	0.016
	55.000	147.1	1.858	0.6678E-04	0.957	0.027	0.016
	54.900	147.2	1.882	0.6762E-04	0.957	0.027	0.016
	54.800	147.3	1.907	0.6847E-04	0.957	0.027	0.016
	54.700	147.4	1.932	0.6933E-04	0.957	0.027	0.016
	54.600	147.5	1.958	0.7020E-04	0.957	0.027	0.016
	54.500	147.6	1.984	0.7108E-04	0.957	0.027	0.016
	54.400	147.7	2.010	0.7197E-04	0.957	0.027	0.016
	54.300	147.8	2.037	0.7288E-04	0.957	0.027	0.016
	54.200	147.9	2.064	0.7379E-04	0.957	0.027	0.016
	54.100	148.0	2.091	0.7472E-04	0.957	0.027	0.016
	54.000	148.1	2.119	0.7566E-04	0.957	0.027	0.016
	53.900	148.2	2.147	0.7661E-04	0.957	0.027	0.016
	53.800	148.3	2.175	0.7757E-04	0.957	0.027	0.016
	53.700	148.4	2.204	0.7854E-04	0.957	0.027	0.016
	53.600	148.5	2.233	0.7953E-04	0.957	0.027	0.016
	53.500	148.6	2.263	0.8053E-04	0.957	0.027	0.016
	53.400	148.7	2.293	0.8154E-04	0.957	0.027	0.016
	53.300	148.9	2.323	0.8256E-04	0.957	0.027	0.016
	53.200	149.0	2.354	0.8360E-04	0.957	0.027	0.016
	53.100	149.1	2.385	0.8465E-04	0.957	0.027	0.016
	53.000	149.2	2.416	0.8571E-04	0.957	0.027	0.016
	52.900	149.3	2.448	0.8679E-04	0.957	0.027	0.016
