\comments
	 Dayly averaged Mars atmospheric profiles computed with MarsGram2001 
	date :	2000/1/1 12:0:0
	ground altitude :	-2.4914 km
	latitude :	0
	longitude :	180
\definition
	 \type_of_composition{mass_composition}
	 \mass_density_unit{kg/m3}
	 \pressure_unit{Pa}
	 \altitude_unit{km}
	 \ground_altitude{-2.4914}
	 \top_altitude{90}
\data
	altitude	temperature	pressure	density	CO2	N2	Ar
	59.500	148.3	0.7314	0.2613E-04	0.957	0.027	0.016
	59.400	148.3	0.7411	0.2648E-04	0.957	0.027	0.016
	59.300	148.3	0.7510	0.2683E-04	0.957	0.027	0.016
	59.200	148.4	0.7611	0.2718E-04	0.957	0.027	0.016
	59.100	148.4	0.7712	0.2754E-04	0.957	0.027	0.016
	59.000	148.4	0.7815	0.2790E-04	0.957	0.027	0.016
	58.900	148.4	0.7920	0.2827E-04	0.957	0.027	0.016
	58.800	148.4	0.8025	0.2864E-04	0.957	0.027	0.016
	58.700	148.5	0.8133	0.2902E-04	0.957	0.027	0.016
	58.600	148.5	0.8241	0.2941E-04	0.957	0.027	0.016
	58.500	148.5	0.8351	0.2979E-04	0.957	0.027	0.016
	58.400	148.5	0.8463	0.3019E-04	0.957	0.027	0.016
	58.300	148.6	0.8576	0.3059E-04	0.957	0.027	0.016
	58.200	148.6	0.8690	0.3099E-04	0.957	0.027	0.016
	58.100	148.6	0.8806	0.3140E-04	0.957	0.027	0.016
	58.000	148.6	0.8924	0.3181E-04	0.957	0.027	0.016
	57.900	148.6	0.9043	0.3223E-04	0.957	0.027	0.016
	57.800	148.7	0.9164	0.3266E-04	0.957	0.027	0.016
	57.700	148.7	0.9286	0.3309E-04	0.957	0.027	0.016
	57.600	148.7	0.9410	0.3353E-04	0.957	0.027	0.016
	57.500	148.7	0.9536	0.3397E-04	0.957	0.027	0.016
	57.400	148.7	0.9663	0.3442E-04	0.957	0.027	0.016
	57.300	148.8	0.9792	0.3487E-04	0.957	0.027	0.016
	57.200	148.8	0.9923	0.3533E-04	0.957	0.027	0.016
	57.100	148.8	1.006	0.3580E-04	0.957	0.027	0.016
	57.000	148.8	1.019	0.3627E-04	0.957	0.027	0.016
	56.900	148.9	1.033	0.3675E-04	0.957	0.027	0.016
	56.800	148.9	1.046	0.3723E-04	0.957	0.027	0.016
	56.700	148.9	1.060	0.3773E-04	0.957	0.027	0.016
	56.600	148.9	1.075	0.3822E-04	0.957	0.027	0.016
	56.500	148.9	1.089	0.3873E-04	0.957	0.027	0.016
	56.400	149.0	1.103	0.3924E-04	0.957	0.027	0.016
	56.300	149.0	1.118	0.3976E-04	0.957	0.027	0.016
	56.200	149.0	1.133	0.4028E-04	0.957	0.027	0.016
	56.100	149.0	1.148	0.4081E-04	0.957	0.027	0.016
	56.000	149.0	1.164	0.4135E-04	0.957	0.027	0.016
	55.900	149.1	1.179	0.4190E-04	0.957	0.027	0.016
	55.800	149.1	1.195	0.4245E-04	0.957	0.027	0.016
	55.700	149.1	1.211	0.4301E-04	0.957	0.027	0.016
	55.600	149.1	1.227	0.4358E-04	0.957	0.027	0.016
	55.500	149.2	1.243	0.4415E-04	0.957	0.027	0.016
	55.400	149.2	1.260	0.4474E-04	0.957	0.027	0.016
	55.300	149.2	1.277	0.4533E-04	0.957	0.027	0.016
	55.200	149.2	1.294	0.4593E-04	0.957	0.027	0.016
	55.100	149.2	1.311	0.4653E-04	0.957	0.027	0.016
	55.000	149.3	1.329	0.4715E-04	0.957	0.027	0.016
	54.900	149.3	1.346	0.4777E-04	0.957	0.027	0.016
	54.800	149.3	1.364	0.4839E-04	0.957	0.027	0.016
	54.700	149.3	1.382	0.4903E-04	0.957	0.027	0.016
	54.600	149.3	1.401	0.4967E-04	0.957	0.027	0.016
	54.500	149.3	1.419	0.5032E-04	0.957	0.027	0.016
	54.400	149.4	1.438	0.5098E-04	0.957	0.027	0.016
	54.300	149.4	1.457	0.5165E-04	0.957	0.027	0.016
	54.200	149.4	1.476	0.5233E-04	0.957	0.027	0.016
	54.100	149.4	1.496	0.5302E-04	0.957	0.027	0.016
	54.000	149.4	1.516	0.5372E-04	0.957	0.027	0.016
